Data Lançamento,Histórico,Descrição,Valor,Saldo
13/12/2025,Compra no débito,Atelie Sabrina Lhoren  Cornelio Proc Bra,-85,00,394,70
13/12/2025,Compra no débito,Raia2701               Cornelio Proc Bra,-103,18,479,70
13/12/2025,Compra no débito,A Barateira Emporio    Assis         Bra,-25,00,582,88
13/12/2025,Compra no débito,Tudo 10                Santa Mariana Bra,-10,00,607,88
11/12/2025,Pix enviado,Tuna Pagamentos,-42,00,617,88
10/12/2025,Compra no débito,Padoka                 Cornelio Proc Bra,-13,82,659,88
10/12/2025,Pix enviado,Restaurante Bariloch,-34,00,673,70

